,nodeid1,nodeid2,label
0,30926,65961,1
1,66825,50551,1
2,10970,57897,1
3,16606,54081,1
4,18772,61222,1
5,41132,59924,1
6,52026,9949,1
7,34648,35463,1
8,57072,58772,1
9,61014,43208,1
10,52486,19149,1
11,36958,28063,1
12,20563,52875,1
13,17030,62119,1
14,14214,67284,1
15,59208,1718,1
16,24518,61334,1
17,640,56229,1
18,21263,16773,1
19,3643,18633,1
20,5546,6233,1
21,20325,14680,1
22,57554,62292,1
23,11270,10670,1
24,55328,10907,1
25,2435,59510,1
26,20842,1593,1
27,8146,22247,1
28,22739,11881,1
29,9058,31534,1
30,53214,64204,1
31,30182,17807,1
32,34499,11775,1
33,21057,54508,1
34,9752,54315,1
35,41587,56694,1
36,58917,60790,1
37,48602,61346,1
38,5584,13456,1
39,42964,57978,1
40,34074,58150,1
41,15587,32886,1
42,3643,1097,1
43,40699,16027,1
44,32591,45946,1
45,28722,41210,1
46,17114,45823,1
47,47916,45383,1
48,29772,7560,1
49,15721,15849,1
50,62292,57554,1
51,14524,44984,1
52,26770,25444,1
53,62363,19143,1
54,905,29006,1
55,27420,50400,1
56,63929,4210,1
57,44562,53476,1
58,41377,59443,1
59,48817,56011,1
60,62246,347,1
61,45907,3191,1
62,57978,42964,1
63,51968,51342,1
64,15483,56420,1
65,50717,50506,1
66,66547,12158,1
67,28827,57616,1
68,31922,49467,1
69,18776,17345,1
70,10821,66739,1
71,66554,35164,1
72,59510,2435,1
73,41889,40865,1
74,59924,41132,1
75,62113,10641,1
76,65091,42833,1
77,35566,61292,1
78,42581,61481,1
79,21054,28529,1
80,20408,51533,1
81,16456,21106,1
82,3066,18584,1
83,51022,14767,1
84,54508,21057,1
85,2548,62546,1
86,66404,48761,1
87,37302,52,1
88,12721,58767,1
89,25568,67581,1
90,28512,31073,1
91,43208,61014,1
92,10970,15007,1
93,19202,25982,1
94,32704,5173,1
95,62584,17261,1
96,58668,27985,1
97,4699,8081,1
98,11775,34499,1
99,20701,57978,1
100,3028,48845,1
101,54027,54396,1
102,51062,51021,1
